"CMS0406S";"Chief Rohr Variabel 1,2-1,8 m silver";138.00;165.6
"CMS0406W";"Chief Rohr Variabel 1,2-1,8 m white";138.00;165.6
"CMS0507B";"Chief Rohr Variabel 1,5-2,1 m black";138.00;165.6
"CMS0507S";"Chief Rohr Variabel 1,5-2,1 m silver";138.00;165.6
"CMS0507W";"Chief Rohr Variabel 1,5-2,1 m white";138.00;165.6
"CMS0608B";"Chief Rohr Variabel 1,8-2,4 m black";138.00;165.6
"CMS0608S";"Chief Rohr Variabel 1,8-2,4 m silver";138.00;165.6
"CMS0608W";"Chief Rohr Variabel 1,8-2,4 m white";138.00;165.6
"CMS006009B";"Chief Rohr Variabel 152 -229 mm black";55.20;66.24
"CMS006009S";"Chief Rohr Variabel 152-229 mm silver";55.20;66.24
"CMS006009W";"Chief Rohr Variabel 152-229 mm white";55.20;66.24
"CMS0810B";"Chief Rohr Variabel 2,4-3 m black";170.40;204.48
"CMS0810S";"Chief Rohr Variabel 2,4-3,0 m silver";170.40;204.48
"CMS0810W";"Chief Rohr Variabel 2,4-3,0 m white";170.40;204.48
"CMS0911B";"Chief Rohr Variabel 2,7-3,4 m black";170.40;204.48
"CMS0911S";"Chief Rohr Variabel 2,7-3,4 m silver";170.40;204.48
"CMS0911W";"Chief Rohr Variabel 2,7-3,4 m white";170.40;204.48
"CMS009012B";"Chief Rohr Variabel 229-305 mm black";70.80;84.96
"CMS009012S";"Chief Rohr Variabel 229-305 mm silver";70.80;84.96
"CMS009012W";"";70.80;84.96
"CMS1012B";"Chief Rohr Variabel 3,1-3,7 m black";186.00;223.2
"CMS1012S";"Chief Rohr Variabel 3,1-3,7 m silver";186.00;223.2
"CMS1012W";"Chief Rohr Variabel 3,1-3,7 m white";186.00;223.2
"CMS012018B";"Chief Rohr Variabel 305-457 mm black";88.80;106.56
"CMS012018S";"Chief Rohr Variabel 305-457 mm silver";88.80;106.56
"CMS012018W";"Chief Rohr Variabel 305-457 mm white";88.80;106.56
"CMS018024B";"Chief Rohr Variabel 457-610 mm black";100.80;120.96
"CMS018024S";"Chief Rohr Variabel 457-610 mm silver";103.20;123.84
"CMS018024W";"Chief Rohr Variabel 457-610 mm white";103.20;123.84
"WM110";"Chief Single Plate Short Throw Projector Mount 0-45cm";168.00;201.6
"WM120";"Chief Single Plate Short Throw Projector Mount 45-75 cm";204.00;244.8
"WM130";"Chief Single  Plate Short Throw Projector Mount 75-137cm";240.00;288
"WM110";"Chief Double Plate Short Throw Projector Mount 0-45cm";228.00;273.6
"WM220";"Chief Double Plate Short Throw Projector Mount 45-75 cm";264.00;316.8
"WM230";"Chief Double  Plate Short Throw Projector Mount 75-137cm";300.00;360
"CMA270B";"Chief Pipe Coupler black";21.60;25.92
"CMA270S";"Chief Pipe Coupler silver";21.60;25.92
"CMA270W";"Chief Pipe Coupler white";21.60;25.92
"CMA275B";"Chief Quick Snap Cable Cover black";58.00;69.6
"CMA340";"Chief Column Stabilization Kit";166.80;200.16
"CMA170W";"Chief Rotation Adapter black";107.00;128.4
"CMA640B";"Chief Decorative Finishing Ring black";12.00;14.4
"CMA640S";"Chief Decorative Finishing Ring silver";12.00;14.4
"CMA640W";"Chief Decorative Finishing Ring white";12.00;14.4
"FHSVB";"Chief Flatscreen Ceiling Mount Vesa 100 black";78.00;93.6
"FHSVS";"Chief Flatscreen Ceiling Mount Vesa 100 silver";78.00;93.6
"JHSUB";"Chief Flatscreen Ceiling Mount up to 34 kg black";106.80;128.16
"JHSUS";"Chief Flatscreen Ceiling Mount up to 34 kg silber";106.80;128.16
"MCSUB";"Chief Flatscreen Ceiling Mount up to 56 kg black";178.80;214.56
"MCDUB";"Chief Flatscreen Double Ceiling Mount up to 56 kg black";262.80;315.36
"PCSUB";"Chief Flatscreen Ceiling Mount up to 90 kg black";262.80;315.36
"PCDUB";"Chief Flatscreen Double Ceiling Mount up to 90 kg black";598.80;718.56
"CM2C40UI";"Chief Flatscreen Cinematic Ceiling Lift";2398.80;2878.56
"FSRVB";"Chief Wall Mount Vesa 100x100, schwarz";22.80;27.36
"FTRVB";"Chief Tilt Wall Mount Vesa 100x100, schwarz";28.80;34.56
"JWDUB";"Chief Dual Arm schwenkbar Vesa 400x400 schwarz";214.80;257.76
"JWDUS";"Chief Dual Arm schwenkbar Vesa 400x400, silber";214.80;257.76
"JWPUB";"Chief dreh und neigbar Vesa 400x400 schwarz";142.80;171.36
"JWPUB";"Chief dreh und neigbar Vesa 400x400 silber";142.80;171.36
"JWSUB";"Chief Single Arm schwenkbar Vesa 400x400 schwarz";166.80;200.16
"JWSUS";"Chief Single Arm schwenkbar Vesa 400x400 silber";166.80;200.16
"KWD110B";"Chief Dual Arm schwenkbar Vesa 100x100, schwarz";115.20;138.24
"KWD110S";"Chief Dual Arm schwenkbar Vesa 100x100, silber";115.20;138.24
"KWG110B";"Chief High Adj. Dual Arm Wall Mount Vesa 100x100, black";226.80;272.16
"KWG110S";"Chief High Adj. Dual Arm Wall Mount Vesa 100x100, silver";226.80;272.16
"KWP110B";"Chief dreh und neigbar Vesa 100x100, schwarz";70.80;84.96
"KWP110S";"Chief dreh und neigbar Vesa 100x100,silber";70.80;84.96
"KWS110B";"Chief Single Arm Vesa 100x100, schwarz";87.60;105.12
"KWS110S";"Chief Single Arm  Vesa 100x100, silber";87.60;105.12
"KWV110B";"Chief High Adjustable Wall Mount Vesa 100x100, black";210.00;252
"KWS110S";"Chief High Adjustable Wall Mount Vesa 100x100, silver";210.00;252
"LSAUB";"Chief Fixed Wall Mount 37""-63""";142.80;171.36
"LSMUB";"Chief Fixed Wall Mount 37""-63"" Micro Adj.";178.80;214.56
"LSMVUB";"Chief Pull-Out  Wall Mount 37""-63"" Micro Adj.";394.80;473.76
"LSTUB";"Chief Ultra Thin Wall Mount 37""-63""";166.80;200.16
"LTAPU";"Chief Portrait Tilt Wall Mount 37""-63""";214.80;257.76
"LTAUB";"Chief Tilt Wall Mount 37""-63""";179.00;214.8
"LTMUB";"Chief Tilt Wall Mount 37""-63"" Micro Adj.";214.80;257.76
"LTTUB";"Chief Ultra Thin Tilt Wall Mount 37""-63""";190.80;228.96
"MSAUB";"Chief Fixed Wall Mount 26""-47""";118.80;142.56
"MSMUB";"Chief Fixed Wall Mount 26""-47"" Micro Adj.";130.80;156.96
"MSMVUB";"Chief Pull-Out  Wall Mount 26""-47"" Micro Adj.";358.80;430.56
"MSTUB";"Chief Ultra Thin Wall Mount 26""-47""";118.80;142.56
"MTAPU";"";166.80;200.16
"MTAUB";"";130.80;156.96
"MTMUB";"Chief Tilt Wall Mount 26""-47"" Micro Adj.";166.80;200.16
"MTTUB";"Chief Ultra Thin Tilt Wall Mount 26""-47""";166.80;200.16
"MWCUB";"Chief Tilt Wall Mount with CPU Storage up to 40""";214.80;257.76
"MWRUB";"Chief Schwenkarm 30"" bis 50"" 632mm Auszug schwarz";298.80;358.56
"MWRUS";"Chief Schwenkarm 30"" bis 50"" 632mm Auszug silber";298.80;358.56
"PDRUB";"Chief Doppelschwenkarm 42"" bis 71"" 940mm Auszug schwarz";690.00;828
"JWPUS";"Chief Doppelschwenkarm 42"" bis 71"" 940mm Auszug silber";690.00;828
"PNRUB";"Chief Doppelschwenkarm 42"" bis 71"" 632mm Auszug schwarz";599.00;718.8
"PWCUB";"Chief Tilt Wall Mount with CPU Storage up to 63""";262.80;315.36
"XSMUB";"Chief Fixed Wall Mount 55""-75"" Micro Adj.";238.80;286.56
"XTMUB";"Chief Tilt Wall Mount 55""-75"" Micro Adj.";274.80;329.76
"FCA102";"Chief CPU/Codec Adapter";82.80;99.36
"FCC100";"Chief Center Speaker adapter";82.80;99.36
"FCD100";"Chief 2. Component Shelf zu FCS100";66.00;79.2
"FCK008";"Chief 8 Zoll Extension Connector Fusion Mont";46.80;56.16
"FCK016";"Chief 16 Zoll Extension Connector Fusion Mont";58.80;70.56
"FCS100";"Chief Component Shelf Below";82.80;99.36
"FLR100";"Chief L/R Speaker adapter";106.80;128.16
"FVS100";"Chief Camera Shelf Below Small";66.00;79.2
"FVS150";"Chief Camera Shelf Below Large";82.80;99.36
"FVS200";"Chief Camera Shelf Above Small";66.00;79.2
"FVS250";"Chief Camera Shelf Above Large";82.80;99.36
"FVS300";"Chief Camera Shelf Center small";66.00;79.2
"FVS350";"Chief Camera Shelf Center large";82.80;99.36
"MSBUB";"Chief Universal Flat Panel Interface 700x400mm black";66.00;79.2
"MSBUS";"Chief Universal Flat Panel Interface 700x400mm silber";66.00;79.2
"PACC1";"Chief Center Speaker adapter for PDRU,PNRU,MWRU Swing arms";82.80;99.36
"PACLR1";"Chief L/R Speaker adapter for PDRU,PNRU,MWRU Swing arms";130.80;156.96
"PSBUB";"Chief Universal Flat Panel Interface 860x517mm black";82.80;99.36
"PSBUS";"Chief Universal Flat Panel Interface 860x517mm silber";82.80;99.36
"MF1UB";"Chief Flat Panel Floor Stand 30"" to 55"" black";646.80;776.16
"MF1UB";"Chief Flat Panel Floor Stand 30"" to 55"" Silber";646.80;776.16
"MF2UB";"Chief Dual Flat Panel Floor Stand 30"" to 55"" black";718.80;862.56
"MF2US";"Chief Dual Flat Panel Floor Stand 30"" to 55"" silber";718.80;862.56
"PF1UB";"Chief Flat Panel Floor Stand up to 65"" black";706.80;848.16
"PF1US";"Chief Flat Panel Floor Stand up to 65"" Silber";706.80;848.16
"PF2UB";"Chief Dual Flat Panel Floor Stand up to 65"" black";826.80;992.16
"PF2US";"Chief Dual Flat Panel Floor Stand up to 65"" Silber";814.80;977.76
"MFCUB";"Chief Flat Panel Mobile Cart 30"" to 55"" black";682.80;819.36
"MFCUS";"Chief Flat Panel Mobile Cart 30"" to 55"" Silber";682.80;819.36
"PFCUB";"Chief Flat Panel Mobile Cart up to 65"" black";706.80;848.16
"PFCUS";"Chief Flat Panel Mobile Cart up to 65"" Silber";706.80;848.16
"MAC251";"Chief Largel lockable CPU Adapter  for MF Series";114.00;136.8
"MAC252";"Chief Small lockable CPU Adapter  for MF Series";114.00;136.8
"MAC400";"Chief 90° Display Rotation Adapter  for MF Series";115.20;138.24
"MAC720";"Chief Dual Display Accessory for MF Series";75.60;90.72
"MAC722";"Chief Dual Display Accessory side by side for MF Series";358.80;430.56
"MAC790";"Chief Swifel Accessory for MF Series";112.80;135.36
"PAC252";"Chief CPU Storage Adapter  for PF Series";190.80;228.96
"PAC253";"Chief CPU Adapter for Swing Arms, MF and PF";190.80;228.96
"PAC400";"Chief 90° Display Rotation Adapter  for PF Series";190.80;228.96
"PAC710";"Chief Accessory Shelve for PF and MF Series";87.60;105.12
"PAC715";"Chief Video Conference Shelve";118.80;142.56
"PAC717";"Chief Literature Shelve";87.60;105.12
"PAC720";"Chief Dual Display Accessory for PF Series";88.00;105.6
"PAC722";"Chief Dual Display Accessory for side by side PF Series";358.80;430.56
"PAC730A";"Chief Lockable Secure Storage Shelve Accessory";154.80;185.76
"PAC735A";"Chief Storage Cabinet for 19"" Rack Equipement";358.80;430.56
"PAC780";"Chief Height Assist Accessory 22,7-34kg";154.80;185.76
"PAC782";"Chief Height Assist Accessory 34-45,4kg";154.80;185.76
"PAC784";"Chief Height Assist Accessory 45,4-56,7 kg";154.80;185.76
"PAC790";"Chief Swifel Accessory for PF Series";130.80;156.96
"KCD110B";"Chief Dual Arm Desk Mount Vesa 100x100, schwarz";190.80;228.96
"KCS110B";"Chief Single Arm Desk Mount Vesa 100x100, schwarz";166.80;200.16
"KCS110S";"Chief Single Arm Desk Mount Vesa 100x100, silver";166.80;200.16
